
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI
BvAxiH	lACiz	lakRaNe	pa.pa	lAFC	lAC1
BvAxiH	vACiz	icCAyAm	pa.pa	vAFC	vAC1
BvAxiH	ACiz	AyAme	pa.pa	-	AC1
BvAxiH	hrICaz	lajjAyAm	pa.pa	-	hrIC1
BvAxiH	hurCAz	kOtilye	pa.pa	-	hurC1
BvAxiH	murCAz	mohane	pa.pa	mUrC	murC1
BvAxiH	murCAz	samucCrAye	pa.pa	mUrC	murC1
BvAxiH	sPurCAz	viswqwO	pa.pa	-	sPurC1
BvAxiH	yuCaz	pramAxe	pa.pa	yu#2	yuC1
BvAxiH	uCiz	uFCe	pa.pa	uFC	uC2
BvAxiH	uCIz	vivAse	pa.pa	uFC	uC1
BvAxiH	Xrajaz	gawO	pa.pa	-	Xraj1
BvAxiH	Xrajiz	gawO	pa.pa	-	Xraj2
BvAxiH	Xqjaz	gawO	pa.pa	-	Xqj1
BvAxiH	Xqjiz	gawO	pa.pa	-	Xqj2
BvAxiH	Xvajaz	gawO	pa.pa	-	Xvaj1
BvAxiH	Xvajiz	gawO	pa.pa	-	Xvaj2
BvAxiH	kUjaz	avyakwe_Sabxe	pa.pa	kUj	kUj1
BvAxiH	arjaz	arjane	pa.pa	qj	arj1
BvAxiH	Rarjaz	arjane	pa.pa	-	Rarj1
BvAxiH	garjaz	Sabxe	pa.pa	garj	garj1
BvAxiH	warjaz	Barwsane	pa.pa	warj	warj1
BvAxiH	karjaz	vyaWane	pa.pa	-	karj1
BvAxiH	Karjaz	mArjane	pa.pa	-	Karj1
BvAxiH	Karjaz	pUjane	pa.pa	-	Karj1
BvAxiH	Karjaz	vyaWane	pa.pa	-	Karj1
BvAxiH	ajaz	gawO	pa.pa	aj	aj1
BvAxiH	ajaz	kRepaNe	pa.pa	aj	aj1
BvAxiH	wejaz	pAlane	pa.pa	-	wej1
BvAxiH	Kajaz	manWe	pa.pa	-	Kaj1
BvAxiH	Kajaz	pAlane	pa.pa	-	Kaj1
BvAxiH	Kajiz	gawivEkalye	pa.pa	-	Kaj2
BvAxiH	ejqz	xIpwO	A.pa	-	ej2
BvAxiH	tuozsPUrjAz	vajranirGoRe	pa.pa	-	sPUrj1
BvAxiH	kRi	kRaye	pa.pa	-	kRi1
BvAxiH	kRIjaz	avyakwe_Sabxe	pa.pa	-	kRIj1
BvAxiH	lajaz	Barjane	pa.pa	-	laj1
BvAxiH	lajaz	Barwsane	pa.pa	-	laj1
BvAxiH	lajiz	Barjane	pa.pa	-	laj2
BvAxiH	lajiz	Barwsane	pa.pa	-	laj2
BvAxiH	lAjaz	Barjane	pa.pa	-	lAj1
BvAxiH	lAjaz	Barwsane	pa.pa	-	lAj1
BvAxiH	lAjiz	Barjane	pa.pa	-	lAj2
BvAxiH	lAjiz	Barwsane	pa.pa	-	lAj2
BvAxiH	jajaz	yuxXe	pa.pa	-	jaj1
BvAxiH	jajiz	yuxXe	pa.pa	-	jaj2
BvAxiH	wujaz	hiMsAyAm	pa.pa	-	wuj1
BvAxiH	wujiz	hiMsAyAm	pa.pa	-	wuj2
BvAxiH	wujiz	pAlane	pa.pa	-	wuj2
BvAxiH	gajaz	maxe	pa.pa	gaj	gaj1
BvAxiH	gajaz	Sabxe	pa.pa	gaj	gaj1
BvAxiH	gajiz	Sabxe	pa.pa	-	gaj2
BvAxiH	gqjaz	Sabxe	pa.pa	-	gqj1
BvAxiH	gqjiz	Sabxe	pa.pa	-	gqj2
BvAxiH	mujaz	Sabxe	pa.pa	-	muj1
BvAxiH	mujiz	Sabxe	pa.pa	-	muj2
BvAxiH	vajaz	gawO	pa.pa	vaj	vaj1
BvAxiH	vrajaz	gawO	pa.pa	vraj	vraj1
BvAxiH	awtaz	awikramaNe	A.pa	-	awt1
BvAxiH	awtaz	hiMsAyAm	A.pa	-	awt1
BvAxiH	veRtaz	veRtane	A.pa	veRt	veRt1
BvAxiH	ceRtaz	ceRtAyAm	A.pa	ceRt	ceRt1
BvAxiH	goRtaz	safGAwe	A.pa	-	goRt1
BvAxiH	loRtaz	safGAwe	A.pa	-	loRt1
BvAxiH	Gawtaz	calane	A.pa	Gatt	Gawt1
BvAxiH	sPutaz	vikasane	A.pa	-	sPut1
BvAxiH	aTiz	gawO	A.pa	-	aT2
BvAxiH	vaTiz	ekacaryAyAm	A.pa	-	vaT2
BvAxiH	maTiz	Soke	A.pa	-	maT2
BvAxiH	kaTiz	Soke	A.pa	-	kaT2
BvAxiH	muTiz	pAlane	A.pa	-	muT1
BvAxiH	muTiz	palAyane	A.pa	-	muT1
BvAxiH	heTaz	vibAXAyAm	A.pa	-	heT1
BvAxiH	eTaz	vibAXAyAm	A.pa	-	eT1
BvAxiH	hidiz	anAxare	A.pa	-	hid1
BvAxiH	hidiz	gawO	A.pa	-	hid1
BvAxiH	hudiz	haraNe	A.pa	-	hud1
BvAxiH	hudiz	safGAwe	A.pa	huNd	hud1
BvAxiH	hudiz	varaNe	A.pa	-	hud1
BvAxiH	kudiz	vEkalye	pa.pa	kuNd	kud1
BvAxiH	vadiz	veRtane	A.pa	-	vad1
BvAxiH	vadiz	viBAjane	A.pa	-	vad1
BvAxiH	madiz	BURAyAm	pa.pa	maNd	mad1
BvAxiH	Badiz	pariBARaNe	A.pa	-	Bad1
BvAxiH	Badiz	parihAse	A.pa	BaNd	Bad1
BvAxiH	pidiz	safGAwe	A.pa	-	pid1
BvAxiH	mudiz	KaNdane	pa.pa	-	mud2
BvAxiH	mudiz	pramarxane	pa.pa	-	mud2
